country,code,year,under_5,age_5_14,age_15_49,age_50_69,over_70,total_deaths,population,perc_of_pop_w_malaria,gdp_per_capita
Estonia,EST,2000,0,0,0,0,0,0,1370749,0,15703
Ethiopia,ETH,2000,10127,1682,4646,2231,543,19229,65577897,3.43,618
Fiji,FJI,2000,0,0,0,0,0,0,811718,0,6674
Finland,FIN,2000,0,0,0,0,0,0,5173370,0,34887
France,FRA,2000,0,0,7,6,0,13,59047795,0,34881
Gabon,GAB,2000,418,67,215,179,59,938,1235274,26.31,17783
Gambia,GMB,2000,492,59,135,103,57,846,1297084,13.06,1550
Georgia,GEO,2000,0,0,0,0,0,0,4745765,0.09,3264
Germany,DEU,2000,0,0,0,0,0,0,82349027,0,36765
Ghana,GHA,2000,12227,1667,4403,3493,1949,23739,19165490,34.78,2259
Greece,GRC,2000,0,0,0,0,0,0,10986883,0,24839
Greenland,GRL,2000,0,0,0,0,0,0,56196,0,
Grenada,GRD,2000,0,0,0,0,0,0,101522,0,9651
Guam,GUM,2000,0,0,0,0,0,0,155147,0,
Guatemala,GTM,2000,8,4,18,10,8,48,11237101,0.92,6071
Guinea,GIN,2000,7292,789,854,824,588,10347,8344486,29.4,1421
Guinea-Bissau,GNB,2000,748,92,157,121,57,1175,1240655,21.9,1363
Guyana,GUY,2000,2,2,15,3,1,23,733101,2.24,4522
Haiti,HTI,2000,2,1,6,1,1,11,8645371,0.39,1739
High SDI,,2000,0,0,11,8,2,21,,0.01,
High-income,,2000,0,0,13,9,3,25,,0.01,
High-income Asia Pacific,,2000,0,0,3,1,1,5,,0.03,
High-middle SDI,,2000,244,117,453,103,62,979,,0.04,
Honduras,HND,2000,6,6,16,3,2,33,6218151,0.78,3329
Hungary,HUN,2000,0,0,0,0,0,0,10210545,0,17952
Iceland,ISL,2000,0,0,0,0,0,0,281210,0,34045
India,IND,2000,43653,19976,7431,4307,2353,77720,1053898107,0.96,2495
Indonesia,IDN,2000,951,414,4878,1588,963,8794,213395411,0.51,5806
Iran,IRN,2000,1,1,8,1,2,13,65342319,0.02,13135
Iraq,IRQ,2000,0,0,5,1,0,6,23857458,0.12,12177
Ireland,IRL,2000,0,0,0,0,0,0,3803780,0,38850
Israel,ISR,2000,0,0,0,0,0,0,6014953,0,26825
Italy,ITA,2000,0,0,0,0,0,0,56986329,0,36536
Jamaica,JAM,2000,0,0,0,0,0,0,2581648,0,7931
Japan,JPN,2000,0,0,0,0,0,0,125720310,0,33872
Jordan,JOR,2000,0,0,0,0,0,0,4827096,0,7235
Kazakhstan,KAZ,2000,3,0,0,0,0,3,14956694,0,9952
Kenya,KEN,2000,8240,1248,3390,2034,661,15573,31253701,13.13,2132
Kiribati,KIR,2000,0,0,0,0,0,0,84010,0,2007
Kuwait,KWT,2000,0,0,0,0,0,0,1940786,0,69920
Kyrgyzstan,KGZ,2000,0,0,1,0,0,1,4954850,0.02,2075
Laos,LAO,2000,5,1,9,2,1,18,5317060,3.02,2485
Latin America and Caribbean,,2000,110,65,216,64,39,494,,0.32,
Latvia,LVA,2000,0,0,0,0,0,0,2384972,0,11175
Lebanon,LBN,2000,0,0,0,0,0,0,3742329,0,12532
Lesotho,LSO,2000,0,0,0,0,0,0,1963878,0,1781
Liberia,LBR,2000,2931,298,440,284,183,4136,2847290,21.7,839
Libya,LBY,2000,0,0,0,0,0,0,5231189,0,21922
Lithuania,LTU,2000,0,0,0,0,0,0,3500028,0,12190
Low SDI,,2000,339971,45792,59290,36995,14531,496579,,9.89,
Low-middle SDI,,2000,221323,31444,42099,25870,13208,333944,,5.29,
Luxembourg,LUX,2000,0,0,0,0,0,0,435491,0,81690
Macedonia,MKD,2000,0,0,0,0,0,0,2009091,0,8621
Madagascar,MDG,2000,2707,397,1103,597,157,4961,15364272,8.48,1444
Malawi,MWI,2000,11901,1326,2135,1385,516,17263,11228756,38.54,866
Malaysia,MYS,2000,1,1,7,3,1,13,23414909,0.37,16310
Maldives,MDV,2000,0,0,0,0,0,0,273236,0,9768
Mali,MLI,2000,15485,1281,1309,1064,444,19583,11295324,26.18,1463
Malta,MLT,2000,0,0,0,0,0,0,397420,0,24624
Marshall Islands,MHL,2000,0,0,0,0,0,0,52145,0,2894
Mauritania,MRT,2000,119,22,54,52,30,277,2642743,2.89,2751
Mauritius,MUS,2000,0,0,0,0,0,0,1196027,0,11077
Mexico,MEX,2000,0,0,8,2,2,12,99959594,0.05,15683
