,country,code,year,deaths,under_5,5_14,15_49,50_69,over_70,gdp_per_capita,population,perc_of_pop_w_malaria
2146,Georgia,GEO,2008,1,0,0,0,0,0,6408.0,4394018.0,0.02
2174,Germany,DEU,2008,5,0,0,0,0,5,40989.0,82475271.0,0.0
2202,Ghana,GHA,2008,31370,13133,2210,7457,5351,3220,2845.0,23264176.0,27.63
2230,Greece,GRC,2008,0,0,0,0,0,0,31882.0,11291807.0,0.0
2258,Greenland,GRL,2008,0,0,0,0,0,0,,57317.0,0.0
2286,Grenada,GRD,2008,0,0,0,0,0,0,12118.0,103723.0,0.0
2314,Guam,GUM,2008,0,0,0,0,0,0,,175538.0,0.0
2342,Guatemala,GTM,2008,14,1,1,7,3,2,6782.0,13690846.0,0.36
2370,Guinea,GIN,2008,15383,10180,1276,1582,1424,921,1587.0,9559110.0,34.26
2398,Guinea-Bissau,GNB,2008,393,180,28,90,64,31,1361.0,1453757.0,4.54
2426,Guyana,GUY,2008,13,1,1,8,2,1,5425.0,751578.0,2.34
2454,Haiti,HTI,2008,11,1,1,7,1,1,1589.0,9736332.0,1.02
2482,High SDI,,2008,15,0,0,2,1,12,,,0.0
2510,High-income,,2008,17,0,0,3,2,12,,,0.0
2538,High-income Asia Pacific,,2008,3,0,0,1,1,1,,,0.01
2566,High-middle SDI,,2008,793,148,76,398,100,71,,,0.02
2594,Honduras,HND,2008,35,5,6,18,4,3,4084.0,7302742.0,0.35
2622,Hungary,HUN,2008,0,0,0,0,0,0,23734.0,10021886.0,0.0
2650,Iceland,ISL,2008,0,0,0,0,0,0,43335.0,310666.0,0.0
2678,India,IND,2008,63460,33345,14673,7768,4789,2885,3787.0,1190863679.0,0.85
2706,Indonesia,IDN,2008,7667,771,319,4122,1386,1069,7793.0,234951154.0,0.44
2734,Iran,IRN,2008,11,1,0,7,1,2,17187.0,72289291.0,0.06
2762,Iraq,IRQ,2008,0,0,0,0,0,0,12217.0,29821136.0,0.0
2790,Ireland,IRL,2008,0,0,0,0,0,0,46063.0,4352866.0,0.0
2818,Israel,ISR,2008,0,0,0,0,0,0,29082.0,7092324.0,0.0
2846,Italy,ITA,2008,2,0,0,0,0,2,37954.0,59891479.0,0.0
2874,Jamaica,JAM,2008,0,0,0,0,0,0,8565.0,2720282.0,0.0
2902,Japan,JPN,2008,0,0,0,0,0,0,36278.0,126544640.0,0.0
2930,Jordan,JOR,2008,0,0,0,0,0,0,9715.0,5848952.0,0.0
2958,Kazakhstan,KAZ,2008,0,0,0,0,0,0,19272.0,15655345.0,0.0
2986,Kenya,KEN,2008,8258,3504,655,2246,1362,491,2335.0,38455418.0,5.58
3014,Kiribati,KIR,2008,0,0,0,0,0,0,1830.0,96532.0,0.0
3042,Kuwait,KWT,2008,0,0,0,0,0,0,93698.0,2548351.0,0.0
3070,Kyrgyzstan,KGZ,2008,1,0,0,0,0,0,2791.0,5204104.0,0.02
3098,Laos,LAO,2008,17,4,1,8,2,1,3732.0,6022001.0,0.5
3126,Latin America and Caribbean,,2008,267,37,26,132,41,31,,,0.2
3154,Latvia,LVA,2008,0,0,0,0,0,0,21384.0,2271198.0,0.0
3182,Lebanon,LBN,2008,0,0,0,0,0,0,14598.0,4166915.0,0.0
3210,Lesotho,LSO,2008,0,0,0,0,0,0,2228.0,2127412.0,0.0
3238,Liberia,LBR,2008,5130,3236,364,744,504,282,675.0,3658460.0,23.68
3266,Libya,LBY,2008,0,0,0,0,0,0,28984.0,6149620.0,0.0
3294,Lithuania,LTU,2008,0,0,0,0,0,0,23568.0,3359799.0,0.0
3322,Low SDI,,2008,484559,322068,41238,64450,39969,16833,,,8.41
3350,Low-middle SDI,,2008,371683,243278,32637,48511,31032,16225,,,4.96
3378,Luxembourg,LUX,2008,0,0,0,0,0,0,94900.0,486781.0,0.0
3406,Macedonia,MKD,2008,0,0,0,0,0,0,11044.0,2052524.0,0.0
3434,Madagascar,MDG,2008,8820,4338,695,2215,1270,303,1523.0,19546282.0,7.87
