country,code,year,under_5,age_5_14,age_15_49,age_50_69,over_70,total_deaths,population,perc_of_pop_w_malaria,gdp_per_capita
Grenada,GRD,2000,0,0,0,0,0,0,101522.0,0.0,9651.0
Guam,GUM,2000,0,0,0,0,0,0,155147.0,0.0,
Guatemala,GTM,2000,8,4,18,10,8,48,11237101.0,0.92,6071.0
Guinea,GIN,2000,7292,789,854,824,588,10347,8344486.0,29.4,1421.0
Guinea-Bissau,GNB,2000,748,92,157,121,57,1175,1240655.0,21.9,1363.0
Guyana,GUY,2000,2,2,15,3,1,23,733101.0,2.24,4522.0
Haiti,HTI,2000,2,1,6,1,1,11,8645371.0,0.39,1739.0
High SDI,,2000,0,0,11,8,2,21,,0.01,
High-income,,2000,0,0,13,9,3,25,,0.01,
High-income Asia Pacific,,2000,0,0,3,1,1,5,,0.03,
High-middle SDI,,2000,244,117,453,103,62,979,,0.04,
Honduras,HND,2000,6,6,16,3,2,33,6218151.0,0.78,3329.0
Hungary,HUN,2000,0,0,0,0,0,0,10210545.0,0.0,17952.0
Iceland,ISL,2000,0,0,0,0,0,0,281210.0,0.0,34045.0
India,IND,2000,43653,19976,7431,4307,2353,77720,1053898107.0,0.96,2495.0
Indonesia,IDN,2000,951,414,4878,1588,963,8794,213395411.0,0.51,5806.0
Iran,IRN,2000,1,1,8,1,2,13,65342319.0,0.02,13135.0
Iraq,IRQ,2000,0,0,5,1,0,6,23857458.0,0.12,12177.0
Ireland,IRL,2000,0,0,0,0,0,0,3803780.0,0.0,38850.0
Israel,ISR,2000,0,0,0,0,0,0,6014953.0,0.0,26825.0
Italy,ITA,2000,0,0,0,0,0,0,56986329.0,0.0,36536.0
Jamaica,JAM,2000,0,0,0,0,0,0,2581648.0,0.0,7931.0
Japan,JPN,2000,0,0,0,0,0,0,125720310.0,0.0,33872.0
Jordan,JOR,2000,0,0,0,0,0,0,4827096.0,0.0,7235.0
Kazakhstan,KAZ,2000,3,0,0,0,0,3,14956694.0,0.0,9952.0
Kenya,KEN,2000,8240,1248,3390,2034,661,15573,31253701.0,13.13,2132.0
Kiribati,KIR,2000,0,0,0,0,0,0,84010.0,0.0,2007.0
Kuwait,KWT,2000,0,0,0,0,0,0,1940786.0,0.0,69920.0
Kyrgyzstan,KGZ,2000,0,0,1,0,0,1,4954850.0,0.02,2075.0
Laos,LAO,2000,5,1,9,2,1,18,5317060.0,3.02,2485.0
Latin America and Caribbean,,2000,110,65,216,64,39,494,,0.32,
Latvia,LVA,2000,0,0,0,0,0,0,2384972.0,0.0,11175.0
Lebanon,LBN,2000,0,0,0,0,0,0,3742329.0,0.0,12532.0
Lesotho,LSO,2000,0,0,0,0,0,0,1963878.0,0.0,1781.0
Liberia,LBR,2000,2931,298,440,284,183,4136,2847290.0,21.7,839.0
Libya,LBY,2000,0,0,0,0,0,0,5231189.0,0.0,21922.0
Lithuania,LTU,2000,0,0,0,0,0,0,3500028.0,0.0,12190.0
Low SDI,,2000,339971,45792,59290,36995,14531,496579,,9.89,
Low-middle SDI,,2000,221323,31444,42099,25870,13208,333944,,5.29,
Luxembourg,LUX,2000,0,0,0,0,0,0,435491.0,0.0,81690.0
Macedonia,MKD,2000,0,0,0,0,0,0,2009091.0,0.0,8621.0
Madagascar,MDG,2000,2707,397,1103,597,157,4961,15364272.0,8.48,1444.0
Malawi,MWI,2000,11901,1326,2135,1385,516,17263,11228756.0,38.54,866.0
Malaysia,MYS,2000,1,1,7,3,1,13,23414909.0,0.37,16310.0
Maldives,MDV,2000,0,0,0,0,0,0,273236.0,0.0,9768.0
Mali,MLI,2000,15485,1281,1309,1064,444,19583,11295324.0,26.18,1463.0
Malta,MLT,2000,0,0,0,0,0,0,397420.0,0.0,24624.0
Marshall Islands,MHL,2000,0,0,0,0,0,0,52145.0,0.0,2894.0
Mauritania,MRT,2000,119,22,54,52,30,277,2642743.0,2.89,2751.0
Mauritius,MUS,2000,0,0,0,0,0,0,1196027.0,0.0,11077.0
Mexico,MEX,2000,0,0,8,2,2,12,99959594.0,0.05,15683.0
Micronesia (country),FSM,2000,0,0,0,0,0,0,,0.0,3119.0
Middle SDI,,2000,6201,2772,6773,2654,1655,20055,,0.32,
Moldova,MDA,2000,0,0,0,0,0,0,4106736.0,0.0,2321.0
Mongolia,MNG,2000,0,0,0,0,0,0,2411369.0,0.0,4655.0
Montenegro,MNE,2000,0,0,0,0,0,0,632606.0,0.0,10397.0
Morocco,MAR,2000,0,0,5,1,1,7,28793236.0,0.01,4484.0
Mozambique,MOZ,2000,22698,2490,4096,2633,851,32768,18200656.0,37.83,562.0
Myanmar,MMR,2000,1501,603,2621,938,307,5970,44957660.0,1.63,1306.0
Namibia,NAM,2000,4,2,5,1,0,12,1895839.0,4.55,6106.0
Nepal,NPL,2000,691,254,100,55,31,1131,24400606.0,0.46,1540.0
Netherlands,NLD,2000,0,0,0,0,0,0,15862825.0,0.0,41722.0
New Zealand,NZL,2000,0,0,0,0,0,0,3858032.0,0.0,27620.0
Nicaragua,NIC,2000,5,2,4,1,1,13,5073704.0,0.65,3456.0
Niger,NER,2000,13622,1433,1452,872,411,17790,10922421.0,18.67,753.0
Nigeria,NGA,2000,152580,11487,17672,11845,6851,200435,123688536.0,30.44,2848.0
North Africa and Middle East,,2000,1998,399,2010,382,211,5000,,0.5,
North America,,2000,0,0,0,0,0,0,,0.0,45146.0
North Korea,PRK,2000,0,0,3,1,1,5,22894095.0,0.75,
Northern Ireland,,2000,0,0,0,0,0,0,,0.0,
Northern Mariana Islands,MNP,2000,0,0,0,0,0,0,68432.0,0.0,
