,country,code,year,deaths,under_5,5_14,15_49,50_69,over_70,gdp_per_capita,population,perc_of_pop_w_malaria
2138,Georgia,GEO,2000,1,0,0,0,0,0,3264.0,4745765.0,0.09
2166,Germany,DEU,2000,0,0,0,0,0,0,36765.0,82349027.0,0.0
2194,Ghana,GHA,2000,23739,12227,1667,4403,3493,1949,2259.0,19165490.0,34.78
2222,Greece,GRC,2000,0,0,0,0,0,0,24839.0,10986883.0,0.0
2250,Greenland,GRL,2000,0,0,0,0,0,0,,56196.0,0.0
2278,Grenada,GRD,2000,0,0,0,0,0,0,9651.0,101522.0,0.0
2306,Guam,GUM,2000,0,0,0,0,0,0,,155147.0,0.0
2334,Guatemala,GTM,2000,49,8,4,18,10,8,6071.0,11237101.0,0.92
2362,Guinea,GIN,2000,10347,7292,789,854,824,588,1421.0,8344486.0,29.4
2390,Guinea-Bissau,GNB,2000,1175,748,92,157,121,57,1363.0,1240655.0,21.9
2418,Guyana,GUY,2000,23,2,2,15,3,1,4522.0,733101.0,2.24
2446,Haiti,HTI,2000,11,2,1,6,1,1,1739.0,8645371.0,0.39
2474,High SDI,,2000,22,0,0,11,8,2,,,0.01
2502,High-income,,2000,25,0,0,13,9,3,,,0.01
2530,High-income Asia Pacific,,2000,6,0,0,3,1,1,,,0.03
2558,High-middle SDI,,2000,980,244,117,453,103,62,,,0.04
2586,Honduras,HND,2000,34,6,6,16,3,2,3329.0,6218151.0,0.78
2614,Hungary,HUN,2000,0,0,0,0,0,0,17952.0,10210545.0,0.0
2642,Iceland,ISL,2000,0,0,0,0,0,0,34045.0,281210.0,0.0
2670,India,IND,2000,77720,43653,19976,7431,4307,2353,2495.0,1053898107.0,0.96
2698,Indonesia,IDN,2000,8794,951,414,4878,1588,963,5806.0,213395411.0,0.51
2726,Iran,IRN,2000,14,1,1,8,1,2,13135.0,65342319.0,0.02
2754,Iraq,IRQ,2000,6,0,0,5,1,0,12177.0,23857458.0,0.12
2782,Ireland,IRL,2000,0,0,0,0,0,0,38850.0,3803780.0,0.0
2810,Israel,ISR,2000,0,0,0,0,0,0,26825.0,6014953.0,0.0
2838,Italy,ITA,2000,0,0,0,0,0,0,36536.0,56986329.0,0.0
2866,Jamaica,JAM,2000,0,0,0,0,0,0,7931.0,2581648.0,0.0
2894,Japan,JPN,2000,0,0,0,0,0,0,33872.0,125720310.0,0.0
2922,Jordan,JOR,2000,0,0,0,0,0,0,7235.0,4827096.0,0.0
2950,Kazakhstan,KAZ,2000,3,3,0,0,0,0,9952.0,14956694.0,0.0
2978,Kenya,KEN,2000,15573,8240,1248,3390,2034,661,2132.0,31253701.0,13.13
3006,Kiribati,KIR,2000,0,0,0,0,0,0,2007.0,84010.0,0.0
3034,Kuwait,KWT,2000,0,0,0,0,0,0,69920.0,1940786.0,0.0
3062,Kyrgyzstan,KGZ,2000,1,0,0,1,0,0,2075.0,4954850.0,0.02
3090,Laos,LAO,2000,20,5,1,9,2,1,2485.0,5317060.0,3.02
3118,Latin America and Caribbean,,2000,494,110,65,216,64,39,,,0.32
3146,Latvia,LVA,2000,0,0,0,0,0,0,11175.0,2384972.0,0.0
3174,Lebanon,LBN,2000,0,0,0,0,0,0,12532.0,3742329.0,0.0
3202,Lesotho,LSO,2000,0,0,0,0,0,0,1781.0,1963878.0,0.0
3230,Liberia,LBR,2000,4136,2931,298,440,284,183,839.0,2847290.0,21.7
3258,Libya,LBY,2000,0,0,0,0,0,0,21922.0,5231189.0,0.0
3286,Lithuania,LTU,2000,0,0,0,0,0,0,12190.0,3500028.0,0.0
3314,Low SDI,,2000,496578,339971,45792,59290,36995,14531,,,9.89
3342,Low-middle SDI,,2000,333945,221323,31444,42099,25870,13208,,,5.29
3370,Luxembourg,LUX,2000,0,0,0,0,0,0,81690.0,435491.0,0.0
3398,Macedonia,MKD,2000,0,0,0,0,0,0,8621.0,2009091.0,0.0
3426,Madagascar,MDG,2000,4962,2707,397,1103,597,157,1444.0,15364272.0,8.48
3454,Malawi,MWI,2000,17262,11901,1326,2135,1385,516,866.0,11228756.0,38.54
3482,Malaysia,MYS,2000,14,1,1,7,3,1,16310.0,23414909.0,0.37
3510,Maldives,MDV,2000,0,0,0,0,0,0,9768.0,273236.0,0.0
