country,code,year,under_5,age_5_14,age_15_49,age_50_69,over_70,total_deaths,population,perc_of_pop_w_malaria,gdp_per_capita
Belarus,BLR,2008,0,0,0,0,0,0,9680690,0,14972
Belgium,BEL,2008,0,0,0,0,0,0,10602167,0,41619
Belize,BLZ,2008,0,0,0,0,0,0,299237,0.35,7951
Benin,BEN,2008,7412,938,1423,966,575,11314,8355980,30.38,1841
Bermuda,BMU,2008,0,0,0,0,0,0,64657,0,60676
Bhutan,BTN,2008,19,7,4,2,1,33,701363,0.4,5592
Bolivia,BOL,2008,1,1,2,1,1,6,9618466,0.38,5191
Bosnia and Herzegovina,BIH,2008,0,0,0,0,0,0,3774164,0,9824
Botswana,BWA,2008,2,1,3,1,0,7,1954822,0.05,13768
Brazil,BRA,2008,10,8,41,13,9,81,191543237,0.16,13803
Brunei,BRN,2008,0,0,0,0,0,0,384695,0,81906
Bulgaria,BGR,2008,0,0,0,0,0,0,7591322,0,15442
Burkina Faso,BFA,2008,26659,2611,3487,2834,1513,37104,15515258,45.97,1394
Burundi,BDI,2008,5087,714,1610,951,260,8622,7943385,12.46,759
Cambodia,KHM,2008,313,136,716,261,79,1505,13822644,0.74,2452
Cameroon,CMR,2008,15898,2336,4182,2851,1468,26735,18758778,24.51,2928
Canada,CAN,2008,0,0,0,0,0,0,33327954,0,41611
Cape Verde,CPV,2008,2,0,0,0,0,2,487371,0.07,5944
Caribbean,,2008,3,2,20,5,2,32,,0.33,0
Central African Republic,CAF,2008,3962,492,867,447,100,5868,4237961,40.55,861
Central Asia,,2008,12,0,4,2,2,20,,0.05,0
Central Europe,,2008,0,0,0,0,0,0,,0,0
"Central Europe, Eastern Europe, and Central Asia",,2008,12,0,4,2,2,20,,0.01,0
Central Latin America,,2008,21,14,61,18,15,129,,0.18,0
Central Sub-Saharan Africa,,2008,96516,9881,19170,11486,3337,140390,,28.41,0
Chad,TCD,2008,8270,1024,1104,853,502,11753,10653762,19.62,1737
Chile,CHL,2008,0,0,0,0,0,0,16795593,0,19032
China,CHN,2008,2,3,79,25,34,143,1328275524,0.02,7948
Colombia,COL,2008,13,6,19,7,6,51,45005782,0.42,10547
Comoros,COM,2008,0,0,1,0,0,1,697034,7.07,1423
Congo,COG,2008,1183,153,634,365,106,2441,3836339,18.05,4730
Costa Rica,CRI,2008,0,0,0,0,0,0,4522124,0.12,12835
Cote d'Ivoire,CIV,2008,20204,2527,5130,3211,1491,32563,18987007,30.09,2672
Croatia,HRV,2008,0,0,0,0,0,0,4418387,0,22011
Cuba,CUB,2008,0,0,0,0,0,0,11266905,0,0
Cyprus,CYP,2008,0,0,0,0,0,0,1077001,0,35960
Czech Republic,CZE,2008,0,0,0,0,0,0,10377359,0,29373
Democratic Republic of Congo,COD,2008,82924,8210,15618,9438,2773,118963,62474901,34.25,640
Denmark,DNK,2008,0,0,0,0,0,0,5497312,0,45866
Djibouti,DJI,2008,0,0,1,0,0,1,855636,0.14,0
Dominica,DMA,2008,0,0,0,0,0,0,68159,0,10303
Dominican Republic,DOM,2008,0,0,1,0,0,1,9664948,0.02,10455
East Asia,,2008,2,3,83,26,35,149,,0.02,0
